time in s,CH2 in V
-89.00024E-6,1.134
-89.00024E-6,1.174
-88.50024E-6,1.134
-88.50024E-6,1.174
-88.00024E-6,1.114
-88.00024E-6,1.174
-87.50024E-6,1.134
-87.50024E-6,1.174
-87.00026E-6,1.114
-87.00026E-6,1.154
-86.50000E-6,1.114
-86.50000E-6,1.154
-86.00002E-6,1.094
-86.00002E-6,1.154
-85.50002E-6,1.094
-85.50002E-6,1.154
-85.00002E-6,1.094
-85.00002E-6,1.134
-84.50002E-6,1.094
-84.50002E-6,1.134
-84.00002E-6,1.074
-84.00002E-6,1.134
-83.50003E-6,1.074
-83.50003E-6,1.134
-83.00003E-6,1.074
-83.00003E-6,1.114
-82.50003E-6,1.054
-82.50003E-6,1.114
-82.00004E-6,1.054
-82.00004E-6,1.094
-81.50004E-6,1.054
-81.50004E-6,1.094
-81.00004E-6,1.034
-81.00004E-6,1.094
-80.50005E-6,1.014
-80.50005E-6,1.074
-80.00005E-6,1.014
-80.00005E-6,1.074
-79.50005E-6,1.014
-79.50005E-6,1.074
-79.00006E-6,1.014
-79.00006E-6,1.054
-78.50006E-6,994.2E-3
-78.50006E-6,1.054
-78.00006E-6,994.2E-3
-78.00006E-6,1.034
-77.50007E-6,974.2E-3
-77.50007E-6,1.034
-77.00007E-6,974.2E-3
-77.00007E-6,1.034
-76.50007E-6,954.2E-3
-76.50007E-6,1.014
-76.00008E-6,954.2E-3
-76.00008E-6,1.014
-75.50008E-6,954.2E-3
-75.50008E-6,994.2E-3
-75.00008E-6,934.2E-3
-75.00008E-6,994.2E-3
-74.50009E-6,934.2E-3
-74.50009E-6,994.2E-3
-74.00009E-6,914.2E-3
-74.00009E-6,974.2E-3
-73.50009E-6,914.2E-3
-73.50009E-6,974.2E-3
-73.00010E-6,914.2E-3
-73.00010E-6,974.2E-3
-72.50010E-6,914.2E-3
-72.50010E-6,954.2E-3
-72.00011E-6,894.2E-3
-72.00011E-6,954.2E-3
-71.50011E-6,874.2E-3
-71.50011E-6,934.2E-3
-71.00011E-6,874.2E-3
-71.00011E-6,934.2E-3
-70.50012E-6,854.2E-3
-70.50012E-6,914.2E-3
-70.00012E-6,854.2E-3
-70.00012E-6,914.2E-3
-69.50012E-6,854.2E-3
-69.50012E-6,914.2E-3
-69.00013E-6,854.2E-3
-69.00013E-6,894.2E-3
-68.50013E-6,834.2E-3
-68.50013E-6,894.2E-3
-68.00013E-6,834.2E-3
-68.00013E-6,874.2E-3
-67.50014E-6,814.2E-3
-67.50014E-6,874.2E-3
-67.00014E-6,814.2E-3
-67.00014E-6,854.2E-3
-66.50014E-6,814.2E-3
-66.50014E-6,854.2E-3
-66.00015E-6,814.2E-3
-66.00015E-6,854.2E-3
-65.50015E-6,794.2E-3
