time in s,CH2 in V
-187.0003E-6,117.0E-3
-187.0003E-6,717.0E-3
-186.0003E-6,317.0E-3
-186.0003E-6,717.0E-3
-185.0003E-6,317.0E-3
-185.0003E-6,717.0E-3
-184.0003E-6,117.0E-3
-184.0003E-6,717.0E-3
-183.0003E-6,317.0E-3
-183.0003E-6,717.0E-3
-182.0003E-6,317.0E-3
-182.0003E-6,717.0E-3
-181.0003E-6,317.0E-3
-181.0003E-6,717.0E-3
-180.0003E-6,317.0E-3
-180.0003E-6,717.0E-3
-179.0004E-6,117.0E-3
-179.0004E-6,717.0E-3
-178.0004E-6,117.0E-3
-178.0004E-6,717.0E-3
-177.0004E-6,117.0E-3
-177.0004E-6,717.0E-3
-176.0004E-6,117.0E-3
-176.0004E-6,717.0E-3
-175.0004E-6,117.0E-3
-175.0004E-6,717.0E-3
-174.0004E-6,317.0E-3
-174.0004E-6,917.0E-3
-173.0004E-6,317.0E-3
-173.0004E-6,917.0E-3
-172.0004E-6,317.0E-3
-172.0004E-6,717.0E-3
-171.0004E-6,317.0E-3
-171.0004E-6,717.0E-3
-170.0004E-6,317.0E-3
-170.0004E-6,717.0E-3
-169.0004E-6,317.0E-3
-169.0004E-6,717.0E-3
-168.0004E-6,117.0E-3
-168.0004E-6,717.0E-3
-167.0004E-6,317.0E-3
-167.0004E-6,717.0E-3
-166.0000E-6,317.0E-3
-166.0000E-6,717.0E-3
-165.0000E-6,317.0E-3
-165.0000E-6,717.0E-3
-164.0000E-6,117.0E-3
-164.0000E-6,717.0E-3
-163.0000E-6,317.0E-3
-163.0000E-6,717.0E-3
-162.0000E-6,317.0E-3
-162.0000E-6,717.0E-3
-161.0001E-6,117.0E-3
-161.0001E-6,717.0E-3
-160.0001E-6,317.0E-3
-160.0001E-6,717.0E-3
-159.0001E-6,117.0E-3
-159.0001E-6,917.0E-3
-158.0001E-6,117.0E-3
-158.0001E-6,917.0E-3
-157.0001E-6,317.0E-3
-157.0001E-6,717.0E-3
-156.0001E-6,317.0E-3
-156.0001E-6,717.0E-3
-155.0001E-6,-9.683
-155.0001E-6,717.0E-3
-154.0001E-6,-9.483
-154.0001E-6,-9.083
-153.0001E-6,-9.483
-153.0001E-6,-8.883
-152.0001E-6,-9.283
-152.0001E-6,-8.883
-151.0001E-6,-9.283
-151.0001E-6,-8.683
-150.0001E-6,-9.083
-150.0001E-6,-8.483
-149.0001E-6,-9.083
-149.0001E-6,-8.483
-148.0001E-6,-9.083
-148.0001E-6,-8.483
-147.0002E-6,-8.883
-147.0002E-6,-8.483
-146.0002E-6,-8.883
-146.0002E-6,-8.283
-145.0002E-6,-8.683
-145.0002E-6,-8.283
-144.0002E-6,-8.683
-144.0002E-6,-8.083
-143.0002E-6,-8.683
-143.0002E-6,-8.083
-142.0002E-6,-8.483
-142.0002E-6,-7.883
-141.0002E-6,-8.483
-141.0002E-6,-7.883
-140.0002E-6,-8.483
-140.0002E-6,-7.883
-139.0002E-6,-8.283
-139.0002E-6,-7.683
-138.0002E-6,-8.283
-138.0002E-6,-7.683
-137.0002E-6,-8.283
-137.0002E-6,-7.483
-136.0002E-6,-8.083
-136.0002E-6,-7.483
-135.0002E-6,-7.883
-135.0002E-6,-7.283
-134.0002E-6,-7.883
-134.0002E-6,-7.283
-133.0002E-6,-7.683
-133.0002E-6,-7.283
-132.0003E-6,-7.683
-132.0003E-6,-7.083
-131.0003E-6,-7.483
-131.0003E-6,-7.083
-130.0003E-6,-7.483
-130.0003E-6,-7.083
-129.0003E-6,-7.483
-129.0003E-6,-6.883
-128.0003E-6,-7.283
-128.0003E-6,-6.883
-127.0003E-6,-7.283
-127.0003E-6,-6.683
-126.0003E-6,-7.283
-126.0003E-6,-6.683
-125.0003E-6,-7.083
-125.0003E-6,-6.683
-124.0003E-6,-7.083
-124.0003E-6,-6.483
-123.0003E-6,-7.083
-123.0003E-6,-6.483
-122.0003E-6,-6.883
-122.0003E-6,-6.483
-121.0003E-6,-6.883
-121.0003E-6,-6.283
-120.0003E-6,-6.683
-120.0003E-6,-6.283
-119.0003E-6,-6.683
-119.0003E-6,-6.083
-118.0003E-6,-6.683
-118.0003E-6,-6.083
-117.0003E-6,-6.483
-117.0003E-6,-6.083
-116.0003E-6,-6.483
-116.0003E-6,-5.883
-115.0003E-6,-6.483
-115.0003E-6,-5.883
-114.0003E-6,-6.283
-114.0003E-6,-5.683
-113.0003E-6,-6.283
-113.0003E-6,-5.683
-112.0003E-6,-6.283
-112.0003E-6,-5.683
-111.0003E-6,-6.083
-111.0003E-6,-5.483
-110.0003E-6,-6.083
-110.0003E-6,-5.483
-109.0003E-6,-5.883
-109.0003E-6,-5.483
-108.0003E-6,-5.883
-108.0003E-6,-5.283
-107.0003E-6,-5.883
-107.0003E-6,-5.283
-106.0003E-6,-5.683
-106.0003E-6,-5.083
-105.0003E-6,-5.683
-105.0003E-6,-5.083
-104.0003E-6,-5.683
-104.0003E-6,-5.083
-103.0003E-6,-5.483
-103.0003E-6,-5.083
-102.0003E-6,-5.483
-102.0003E-6,-5.083
-101.0003E-6,-5.483
-101.0003E-6,-4.883
-100.0003E-6,-5.483
-100.0003E-6,-4.883
-99.00030E-6,-5.283
-99.00030E-6,-4.683
-98.00030E-6,-5.083
-98.00030E-6,-4.683
-97.00030E-6,-5.083
-97.00030E-6,-4.483
-96.00000E-6,-5.083
-96.00000E-6,-4.483
-95.00000E-6,-5.083
-95.00000E-6,-4.483
-94.00000E-6,-4.883
-94.00000E-6,-4.283
-93.00000E-6,-4.883
-93.00000E-6,-4.283
-92.00000E-6,-4.883
-92.00000E-6,-4.083
-91.00000E-6,-4.683
-91.00000E-6,-4.083
-90.00000E-6,-4.683
-90.00000E-6,-4.083
-89.00000E-6,-4.683
-89.00000E-6,-4.083
-88.00000E-6,-4.483
-88.00000E-6,-3.883
-87.00000E-6,-4.483
-87.00000E-6,-3.883
-86.00000E-6,-4.283
-86.00000E-6,-3.883
-85.00000E-6,-4.283
-85.00000E-6,-3.683
-84.00000E-6,-4.283
-84.00000E-6,-3.683
-83.00000E-6,-4.083
-83.00000E-6,-3.483
-82.00000E-6,-4.083
-82.00000E-6,-3.483
-81.00000E-6,-4.083
-81.00000E-6,-3.483
-80.00000E-6,-3.883
-80.00000E-6,-3.483
-79.00000E-6,-3.883
-79.00000E-6,-3.283
-78.00000E-6,-3.883
-78.00000E-6,-3.283
-77.00000E-6,-3.883
-77.00000E-6,-3.283
-76.00000E-6,-3.683
-76.00000E-6,-3.083
-75.00000E-6,-3.683
-75.00000E-6,-3.083
-74.00000E-6,-3.483
-74.00000E-6,-3.083
-73.00000E-6,-3.483
-73.00000E-6,-2.883
-72.00000E-6,-3.483
-72.00000E-6,-2.883
-71.00000E-6,-3.283
-71.00000E-6,-2.883
-70.00000E-6,-3.283
-70.00000E-6,-2.683
-69.00000E-6,-3.283
-69.00000E-6,-2.683
-68.00000E-6,-3.283
-68.00000E-6,-2.683
-66.99999E-6,-3.083
-66.99999E-6,-2.683
-65.99999E-6,-3.083
-65.99999E-6,-2.483
-64.99999E-6,-3.083
-64.99999E-6,-2.483
-63.99999E-6,-3.083
-63.99999E-6,-2.483
-62.99999E-6,-2.883
-62.99999E-6,-2.483
-61.99999E-6,-2.883
-61.99999E-6,-2.283
-60.99999E-6,-2.883
-60.99999E-6,-2.283
-59.99999E-6,-2.683
-59.99999E-6,-2.283
-58.99999E-6,-2.683
-58.99999E-6,-2.283
-57.99999E-6,-2.683
-57.99999E-6,-2.083
-56.99999E-6,-2.683
-56.99999E-6,-2.083
-55.99999E-6,-2.483
-55.99999E-6,-2.083
-54.99999E-6,-2.483
-54.99999E-6,-1.883
-53.99999E-6,-2.483
-53.99999E-6,-1.883
-52.99999E-6,-2.283
-52.99999E-6,-1.883
-51.99999E-6,-2.283
-51.99999E-6,-1.883
-50.99999E-6,-2.283
-50.99999E-6,-1.683
-49.99999E-6,-2.283
-49.99999E-6,-1.683
-48.99999E-6,-2.283
-48.99999E-6,-1.683
